"->        06-17-199811:32:54"
"->as;iodr        06-17-199811:32:57"
"->asdfie        06-17-199811:32:58"
"->asdifwep        06-17-199811:32:59"
"->a        06-17-199811:33:00"
"->        06-17-199811:36:52"
"->        06-17-199811:37:25"
"->        06-17-199811:38:27"
"->        06-17-199811:39:04"
"->        06-17-199811:39:41"
"->        06-17-199811:40:53"
"->        06-17-199811:41:04"
"->        06-17-199811:46:02"
"->        06-17-199811:46:19"
"->;asldkf        06-17-199811:46:21"
"->adskl;f        06-17-199811:46:21"
"->al;sdkf        06-17-199811:46:22"
"->a;sdklf        06-17-199811:46:23"
"->;adklsf        06-17-199811:46:24"
"->ad;fklj        06-17-199811:46:25"
"->asdf;klj        06-17-199811:46:28"
"->a;skldf        06-17-199811:46:29"
"->dsklf        06-17-199811:46:29"
"->;sdlfk        06-17-199811:46:30"
"->asdklfj        06-17-199811:46:31"
"bai->        06-17-199811:46:39"
"bai->我是白光        06-17-199811:46:49"
"->z;dlfkgj        06-17-199811:47:24"
"->I am here        06-17-199811:47:29"
"bai->\        06-17-199811:47:33"
"bai->        06-17-199812:49:42"
"s->        06-17-199813:08:15"
"s->        06-17-199813:08:52"
"白光->        06-17-199813:28:36"
"刘松波->        06-17-199813:28:56"
"bb->        06-17-199813:28:58"
"白光->所地铁人        06-17-199813:29:07"
"白光->我是白光        06-17-199813:29:27"
"刘松波->个        06-17-199813:29:36"
"bb->ljsdkjfksa        06-17-199813:29:42"
"bb->kl        06-17-199813:29:51"
"bb->l;        06-17-199813:29:52"
"bb->;p        06-17-199813:29:53"
"bb->[dfg        06-17-199813:29:56"
"bb->f        06-17-199813:29:56"
"白光->狄人        06-17-199813:29:56"
"bb->dd        06-17-199813:29:57"
"bb->dhdfhd        06-17-199813:29:58"
"bb->f        06-17-199813:29:58"
"bb->gh        06-17-199813:29:59"
"bb->hfd        06-17-199813:29:59"
"bb->rt        06-17-199813:30:00"
"bb->gfcls        06-17-199813:30:04"
"zhang->        06-17-199820:29:07"
"zhang->heip        06-17-199820:29:44"
"peng->        06-17-199820:30:22"
"peng->help        06-17-199820:31:58"
"bai->        06-18-199809:22:21"
->        06-18-199809:37:53
bai->        06-18-199810:07:54
li->        06-18-199810:15:11
li->aosdgij        06-18-199810:15:14
li->wepift        06-18-199810:15:14
bai->        06-18-199810:15:33
bai->tyjty        06-18-199810:15:43
li->bgfmhj        06-18-199810:15:47
li->cdwg        06-18-199810:16:09
1->        06-18-199810:17:09
a->        06-18-199810:17:14
a->        06-18-199810:17:58
bai->        06-18-199810:19:23
b->        06-18-199810:19:31
b->de        06-18-199810:19:33
b->ie        06-18-199810:19:35
bai->gfd        06-18-199810:19:40
b->l;sadf        06-18-199810:19:45
dir->        06-18-199810:20:54
dir->aise        06-18-199810:20:56
bai->        06-18-199810:21:50
dir->\\        06-18-199810:22:03
dir->xf        06-18-199810:22:31
bai->asdif        06-18-199810:22:55
巴->        06-18-199810:23:25
zy->        06-18-199813:13:21
白光->        06-18-199813:13:35
zy->dir        06-18-199813:13:44
白光->你是谁?        06-18-199813:13:59
zy->l'm zy        06-18-199813:14:06
zy->s        06-18-199813:14:15
白光->help        06-18-199813:14:45
zy->help        06-18-199813:14:52
白光->lasdoifr        06-18-199813:15:23
白光->aseio        06-18-199813:15:25
白光->asdifr        06-18-199813:15:26
白光->ao;sdf        06-18-199813:15:27
